Country Name	Country Code	Year	Year Code	Population, female [SP.POP.TOTL.FE.IN]	Population, female (% of total population) [SP.POP.TOTL.FE.ZS]	Population, male [SP.POP.TOTL.MA.IN]	Population, male (% of total population) [SP.POP.TOTL.MA.ZS]	Population, total [SP.POP.TOTL]	Age dependency ratio (% of working-age population) [SP.POP.DPND]	Age dependency ratio, old [SP.POP.DPND.OL]	Age dependency ratio, young [SP.POP.DPND.YG]	Birth rate, crude (per 1,000 people) [SP.DYN.CBRT.IN]	Death rate, crude (per 1,000 people) [SP.DYN.CDRT.IN]	Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]	Life expectancy at birth, female (years) [SP.DYN.LE00.FE.IN]	Life expectancy at birth, male (years) [SP.DYN.LE00.MA.IN]	Life expectancy at birth, total (years) [SP.DYN.LE00.IN]	Mortality rate, adult, female (per 1,000 female adults) [SP.DYN.AMRT.FE]	Mortality rate, adult, male (per 1,000 male adults) [SP.DYN.AMRT.MA]	Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]	Mortality rate, infant, female (per 1,000 live births) [SP.DYN.IMRT.FE.IN]	Mortality rate, infant, male (per 1,000 live births) [SP.DYN.IMRT.MA.IN]	Mortality rate, neonatal (per 1,000 live births) [SH.DYN.NMRT]	Mortality rate, under-5 (per 1,000) [SH.DYN.MORT]	Mortality rate, under-5, female (per 1,000) [SH.DYN.MORT.FE]	Mortality rate, under-5, male (per 1,000) [SH.DYN.MORT.MA]	Net migration [SM.POP.NETM]	Number of deaths ages 10-14 years [SH.DTH.1014]	Number of deaths ages 10-19 years [SH.DTH.1019]	Number of deaths ages 15-19 years [SH.DTH.1519]	Number of deaths ages 20-24 years [SH.DTH.2024]	Number of deaths ages 5-9 years [SH.DTH.0509]	Number of infant deaths [SH.DTH.IMRT]	Number of infant deaths, female [SH.DTH.IMRT.FE]	Number of infant deaths, male [SH.DTH.IMRT.MA]	Number of neonatal deaths [SH.DTH.NMRT]	Number of stillbirths [SH.DTH.STLB]	Number of under-five deaths [SH.DTH.MORT]	Number of under-five deaths, female [SH.DTH.MORT.FE]	Number of under-five deaths, male [SH.DTH.MORT.MA]	Population growth (annual %) [SP.POP.GROW]	Probability of dying among adolescents ages 10-14 years (per 1,000) [SH.DYN.1014]	Probability of dying among adolescents ages 10-19 years (per 1,000) [SH.DYN.1019]	Probability of dying among adolescents ages 15-19 years (per 1,000) [SH.DYN.1519]	Probability of dying among children ages 5-9 years (per 1,000) [SH.DYN.0509]	Probability of dying among youth ages 20-24 years (per 1,000) [SH.DYN.2024]	Rural population [SP.RUR.TOTL]	Rural population (% of total population) [SP.RUR.TOTL.ZS]	Rural population growth (annual %) [SP.RUR.TOTL.ZG]	Sex ratio at birth (male births per female births) [SP.POP.BRTH.MF]	Stillbirth rate (per 1,000 total births) [SH.DYN.STLB]	Urban population [SP.URB.TOTL]	Urban population (% of total population) [SP.URB.TOTL.IN.ZS]	Urban population growth (annual %) [SP.URB.GROW]
India	IND	1960	YR1960	215819000	48.3948388833563	230135579	51.6051611166437	445954579	77.9742780223001	5.85795950704724	72.1163185152528	42.506	19.633	5.921	44.508	45.884	45.218	393.56	396.829	161.8	157.2	166.2	..	242.6	249.3	236.4	52264	..	..	..	..	..	2962681	1402570	1560111	..	..	4421984	2211446	2210538	..	..	..	..	..	..	366021680	82.076	..	1.052	..	79932899	17.924	..
India	IND	1961	YR1961	220791299	48.3818103116552	235560577	51.6181896883448	456351876	78.9733396511362	5.95813817665449	73.0152014744817	42.294	19.446	5.937	44.695	46.057	45.398	394.154	396.855	159.5	154.9	163.9	..	239.2	245.6	233	114181	..	..	..	..	..	2963986	1402485	1561501	..	..	4423671	2211532	2212139	2.30470638074818	..	..	..	..	..	374062506	81.968	2.17303451726703	1.052	..	82289370	18.032	2.90544175212617
India	IND	1962	YR1962	225898332	48.3697280324833	241125862	51.6302721816383	467024193	79.997518089989	6.0935816356419	73.9039364543471	42.101	19.205	5.953	44.961	46.312	45.659	393.657	395.305	157.3	152.7	161.7	..	235.9	242.2	229.9	110398	..	..	..	..	..	2965690	1402665	1563025	..	..	4426296	2211839	2214457	2.31168916319999	..	..	..	..	..	381941726	81.782	2.08451354390681	1.052	..	85082467	18.218	3.33790484134301
India	IND	1963	YR1963	231120329	48.3582488889529	246813291	51.6417513202811	477933619	81.0127364161524	6.24536895261907	74.7673674635333	41.907	18.964	5.969	45.248	46.58	45.936	392.458	393.153	155.3	150.7	159.6	..	232.9	238.8	227.1	48986	..	..	..	..	..	2968264	1403355	1564909	..	..	4430493	2212371	2218122	2.30907889966126	..	..	..	..	..	389969936	81.595	2.0801601741375	1.052	..	87963683	18.405	3.33030499646328
India	IND	1964	YR1964	236446379	48.3471788899125	252612930	51.6528211100875	489059309	81.6447420876316	6.37243234928129	75.2723097383503	41.721	18.761	5.979	45.501	46.822	46.184	390.91	391.103	153.4	148.8	157.7	..	230	235.8	224.4	5837	..	..	..	..	..	2972129	1404954	1567175	..	..	4436738	2214803	2221935	2.30119179559958	..	..	..	..	..	398118730	81.405	2.06806284069722	1.052	..	90940579	18.595	3.32822790967518
India	IND	1965	YR1965	241740859	48.3371174879275	258373487	51.6628825120725	500114346	81.7966648564586	6.45476297706506	75.3419018793935	41.346	19.642	5.941	44.361	45.556	44.98	399.413	403.239	151.6	147.1	155.9	..	227.2	233	221.7	19077	..	..	..	..	..	2976408	1406706	1569702	..	..	4443357	2217715	2225642	2.23529958573103	..	..	..	..	..	406167866	81.215	2.00162598238169	1.052	..	93946480	18.785	3.25189432080798
India	IND	1966	YR1966	246951009	48.3277058775978	264041608	51.6722941224022	510992617	81.7647590545965	6.5024507543599	75.2623083002365	40.918	19.342	5.881	44.727	45.898	45.333	393.749	398.392	149.7	145.3	154.2	..	224.5	230.1	219.2	-144807	..	..	..	..	..	2980979	1408338	1572641	..	..	4449787	2219944	2229843	2.15183776822664	..	..	..	..	..	414021548	81.023	1.91514835764021	1.053	..	96971069	18.977	3.16874178637884
India	IND	1967	YR1967	252216091	48.3184557585276	269770979	51.681544433048	521987069	81.598263435068	6.51962091557558	75.0786425194924	40.592	19.082	5.825	45.083	46.225	45.674	387.484	393.239	148.1	143.6	152.4	..	221.8	227.3	216.8	-124336	..	..	..	..	..	2989616	1411951	1577665	..	..	4458961	2222825	2236136	2.12876735867267	..	..	..	..	..	421916928	80.829	1.88904207973054	1.053	..	100070141	19.171	3.14586738313219
India	IND	1968	YR1968	257695427	48.3089636469422	275736482	51.6910363530578	533431909	81.3581369052761	6.52328839166293	74.8348485136132	40.207	17.778	5.76	46.837	48.065	47.471	368.994	372.63	146.5	142	150.7	..	219.2	224.5	214.2	-184326	..	..	..	..	..	2999177	1416007	1583170	..	..	4468498	2226476	2242022	2.16886163107629	..	..	..	..	..	430127486	80.634	1.92732022388088	1.053	..	103304423	19.366	3.18088421316613
India	IND	1969	YR1969	263380464	48.2988040648164	281934206	51.7011959351836	545314670	81.0747944068567	6.53298025948997	74.5418141473667	39.792	17.51	5.684	47.22	48.456	47.857	362.231	366.208	144.7	140.4	148.8	85	216.5	221.7	211.5	-171683	..	..	..	..	..	3008303	1421550	1586753	..	..	4476462	2230488	2245974	2.2031572336638	..	..	..	..	..	438640214	80.438	1.95978751511362	1.054	..	106674456	19.562	3.21015372127432
